orig_id,dest_id,shipments,dist,oinc,oarea,opop,odens,ocap,o65,ocoll,ogen,dinc,darea,dpop,ddens,d65,dcoll,dcap,tax,dregion,year
20,1,5356.0032,775.2822,31.02,.056809,9.295,163.6184,4.772254,12.4,10.9,19.23539,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
21,1,48085.175,966.5143,30.909,.079617,4.375,54.95058,.100022,12.6,15.6,17.10039,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
22,1,1000.0002,503.5229,26.362,.068898,5.117,74.26921,.60172,14.2,11.7,17.58893,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
23,1,49255.174,170.8416,20.136,.046914,2.573,54.84504,.000061,12.5,9.7,17.78939,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
24,1,0,1548.785,22.988,.145556,.799,5.489296,2.258579,13.4,14.1,15.02281,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
25,1,258710.81,452.8329,26.647,.048718,6.629,136.0688,.076299,12.5,12,18.73327,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
26,1,0,1228.013,23.213,.068994,.639,9.261675,2.258579,14.8,13.5,12.94228,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
27,1,26855.952,893.9376,26.016,.076878,1.578,20.52603,2.258579,14.2,13.1,16.95302,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
28,1,750.00026,1097.274,36.329,.008969,1.109,123.6481,0,11.9,16.4,16.15684,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
29,1,11112.001,843.6528,40.927,.007419,7.73,1041.919,27.93428,13.6,16,18.74475,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
30,1,0,1105.784,24.087,.121364,1.515,12.48311,.005929,11,12.1,13.47595,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
31,1,0,1772.791,31.011,.109806,1.202,10.94658,2.258579,11.1,10.1,13.09052,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
32,1,19966.995,906.0051,32.965,.047224,17.99,380.9504,1.2612,13.1,13.2,18.13749,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
33,1,27694.909,557.2057,28.706,.040953,10.847,264.8646,2.982439,13.3,11.1,19.57994,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
34,1,0,629.381,23.577,.068679,3.146,45.80731,2.536528,13.6,11.8,17.32116,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
35,1,0,2026.62,27.25,.096002,2.842,29.60355,2.258579,13.8,13.6,16.72282,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
36,1,67040.023,744.0532,29.069,.04482,11.882,265.1049,1.444129,15.8,11.3,19.0113,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
37,1,0,1034.999,32.181,.001045,1.003,959.8086,.101832,15.5,13.5,16.0167,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
38,1,147194.95,339.0091,26.256,.030111,3.487,115.8049,.563243,11.7,11.2,18.4473,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
39,1,0,1039.421,22.503,.075896,.696,9.170444,2.258579,14.7,12.3,13.31658,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
40,1,328419.47,210.8508,24.807,.041219,4.877,118.3192,1.005436,12.8,10.5,17.9992,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
41,1,122829.42,703.3088,27.016,.261914,16.987,64.85717,6.4774,10.2,13.9,19.64979,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
42,1,0,1457.475,29.47,.082168,1.723,20.96923,2.258579,8.9,15.4,17.29636,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
43,1,17383.008,563.5828,33.328,.039598,6.187,156.2453,.112465,11,15.4,17.53938,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
44,1,0,1084.462,29.792,.009249,.563,60.87144,0,12,15.4,14.92416,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
45,1,0,2035.062,31.183,.066581,4.867,73.09893,2.258579,11.6,15.9,18.10399,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
46,1,1505.0009,813.0789,29.442,.054314,4.892,90.06886,.456722,13.4,12.1,18.0229,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
47,1,15950.003,533.4631,20.795,.024087,1.793,74.43849,2.304,15.3,7.5,17.47108,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
48,1,0,1312.342,27.096,.097105,.454,4.675352,2.258579,10.9,13.1,11.19868,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
1,1,5915578.4,0,23.597,.05075,4.041,79.62562,1.102672,13,10.1,18.03024,23.597,.05075,4.041,79.62562,13,10.1,1.102672,40.4,"south",1992
